Bundesland,year_1960,year_1970,year_1980,year_1990,year_2000,year_2010,year_2015,year_2017
Baden-Württemberg,7726859,8953607,9258947,9822027,10524415,10753880,10879618,11023425
Bayern,9494939,10561110,10928151,11448823,12230255,12538696,12843514,12997204
Berlin,2202241,2115311,1896230,3433695,3382169,3460725,3520031,3613495
Brandenburg,,,,2578312,2601962,2503273,2484826,2504040
Bremen,704287,735452,693846,681665,660225,660706,671489,681032
Hamburg,1836958,1793640,1645095,1652363,1715392,1786448,1787408,1830584
Hessen,4783352,5424529,5601031,5763310,6068129,6067021,6176172,6243262
Mecklenburg-Vorpommern,,,,1923959,1775703,1642327,1612362,1611119
Niedersachsen,6576137,7121824,7256386,7387245,7926193,7918293,7926599,7962775
Nordrhein-Westfalen,15852476,17004851,17058193,17349651,18009865,17845154,17865516,17912134
Rheinland-Pfalz,3411170,3658932,3642482,3763510,4034557,4003745,4052803,4073679
Saarland,1060493,1121300,1066299,1072963,1068703,1017567,995597,994187
Sachsen,,,,4764301,4425581,4149477,4084851,4081308
Sachsen-Anhalt,,,,2873957,2615375,2335006,2245470,2223081
Schleswig-Holstein,2309409,2510608,2611285,2626127,2789761,2834259,2858714,2889821
Thüringen,,,,2611319,2431255,2235025,2170714,2151205
